type,nb_photo,prix,code postal,transport/0,transport/1,transport/2,nb_pieces,nb_chambres,surface,lat,lon,url
appartement,14,530000,75013,Olympiades,Tolbiac,Maison Blanche,3,2,73,48.825964,2.364464,/annonces/appartement-paris-13e-75013-r429601072
appartement,9,528000,75019,Jourdain,Pyrénées,Botzaris,3,2,46,48.876677,2.386124,/annonces/appartement-paris-19e-75019-r430400523
appartement,6,525000,75013,Bibliothèque François Mitterrand,Maryse Bastié,Olympiades,2,1,43,48.827202,2.373478,/annonces/appartement-paris-13e-r427700212
studio,10,519000,75016,Boissière,Iéna,Victor Hugo,1,1,37,48.866944,2.289735,/annonces/appartement-paris-16e-75016-r429800681
appartement,6,513000,75005,Maubert - Mutualité,Cluny - La Sorbonne,Cardinal Lemoine,2,1,29,48.848916,2.347537,/annonces/appartement-paris-5e-75005-r430000699
appartement,12,495000,75012,Porte de Charenton,Daumesnil (Félix Éboué),Michel Bizot,6,4,104,48.834883,2.396209,/annonces/appartement-paris-12e-75012-r429701453
appartement,6,490000,75019,Ourcq,Laumière,Porte de Pantin (Parc de la Villette),3,2,53,48.885173,2.383916,/annonces/appartement-paris-19e-75019-r430400344
appartement,8,488000,75015,Brancion,Porte de Vanves,Convention,3,2,45,48.833249,2.303936,/annonces/appartement-paris-15e-75015-r430401109
appartement,6,470000,75020,Alexandre Dumas,Avron,Buzenval,3,2,44,48.855618,2.396737,/annonces/appartement-paris-20e-r430400245
appartement,0,450000,75019,,,,2,1,50,48.8825,2.38261,/annonces/appartement-paris-19e-r427600137
appartement,6,437500,75010,Jacques Bonsergent,Gare de l'Est (Verdun),Château-Landon,2,1,35,48.873759,2.363033,/annonces/appartement-paris-10e-75010-r430401093
appartement,14,430000,75002,Strasbourg - Saint-Denis,Réaumur - Sébastopol,Bonne Nouvelle,3,2,36,48.868472,2.35313,/annonces/appartement-paris-2e-r428800225
appartement,8,430000,75013,Chevaleret,Nationale,Campo-Formio,2,1,48,48.833027,2.366262,/annonces/appartement-paris-13e-75013-r430300872
appartement,11,425000,75013,Les Gobelins,Censier - Daubenton,Glacière,2,1,38,48.836335,2.348551,/annonces/appartement-paris-13e-r428200163
appartement,6,420000,75018,Château Rouge,Barbès - Rochechouart,Marcadet - Poissonniers,2,1,40,48.886979,2.349004,/annonces/appartement-paris-18e-75018-r430401039
appartement,3,390000,75017,La Fourche,Brochant,Guy Môquet,2,1,35,48.888559,2.323827,/annonces/appartement-paris-17e-75017-r430400168
appartement,6,385000,75011,Goncourt (Hôpital-Saint-Louis),République,Oberkampf,2,1,35,48.868593,2.369168,/annonces/appartement-paris-11e-75011-r430400540
appartement,12,360000,75013,Tolbiac,Maison Blanche,Olympiades,2,1,41,48.825715,2.360282,/annonces/appartement-paris-13e-r428400237
appartement,5,355000,75014,,,,2,1,33,48.832699,2.32491,/annonces/appartement-paris-14e-75014-r430400782
studio,10,338000,75017,Ternes,Charles de Gaulle - Étoile,Argentine,1,0,24,48.878654,2.29497,/annonces/appartement-paris-17e-75017-r429600744
appartement,10,332000,75010,Colonel Fabien,Bolivar,Louis Blanc,2,1,38,48.876847,2.371443,/annonces/appartement-paris-10e-75010-r430401296
studio,5,325000,75006,Saint-Sulpice,Rennes,Saint-Placide,1,0,18,48.848956,2.331776,/annonces/appartement-paris-6e-r428900233
appartement,5,320000,75020,Maraîchers,Porte de Montreuil,Marie de Miribel,2,1,30,48.854891,2.406257,/annonces/appartement-paris-20e-75020-r430400666
studio,6,295000,75005,Jussieu,Cardinal Lemoine,Place Monge (Jardin des Plantes - Arènes de Lutèce),1,0,23,48.84693,2.353797,/annonces/appartement-paris-5e-75005-r430400322
studio,4,270000,75017,Place de Clichy,La Fourche,Blanche,1,0,17,48.884015,2.326341,/annonces/appartement-paris-17e-75017-r430400316
appartement,8,270000,75017,Place de Clichy,La Fourche,Rome,2,1,38,48.885258,2.325458,/annonces/appartement-paris-17e-r427800364
studio,5,260000,75011,Faidherbe,Faidherbe - Chaligny,Charonne,1,0,20,48.852001,2.381712,/annonces/appartement-paris-11e-75011-r429901196
studio,12,260000,75019,Pyrénées,Belleville,Buttes Chaumont,1,0,15,48.873305,2.381889,/annonces/appartement-paris-19e-75019-r429701019
appartement,8,250000,75018,Porte de la Chapelle,Marx Dormoy,Colette Besson,2,1,26,48.894161,2.359563,/annonces/appartement-paris-18e-75018-r430400147
studio,0,245000,75001,Etienne Marcel,Châtelet - Les Halles,Sentier,1,0,15,48.863858,2.345696,/annonces/appartement-paris-1er-75001-r430401011
studio,12,240000,75018,Lamarck - Caulaincourt,Abbesses,Pigalle,1,0,18,48.887897,2.33776,/annonces/appartement-paris-18e-75018-r430400338
studio,7,240000,75017,Neuilly - Porte Maillot,Porte Maillot (Palais des Congrès),Argentine,1,0,18,48.87829,2.285149,/annonces/appartement-paris-17e-75017-r430401036
studio,9,234000,75011,République,Goncourt (Hôpital-Saint-Louis),Oberkampf,1,0,18,48.867965,2.367672,/annonces/appartement-paris-11e-75011-r430400992
studio,12,225000,75020,Marie de Miribel,Porte de Montreuil,Maraîchers,1,0,25,48.856929,2.408963,/annonces/appartement-paris-20e-75020-r430401269
studio,6,224000,75008,Saint-Philippe du Roule,Franklin D. Roosevelt,George V,1,0,15,48.872771,2.307243,/annonces/appartement-paris-8e-75008-r430400942
studio,10,189000,75017,Guy Môquet,Porte de Saint-Ouen,Brochant,1,0,14,48.894203,2.327773,/annonces/appartement-paris-17e-r430400346
appartement,3,189000,75017,Porte de Saint-Ouen,Guy Môquet,Porte de Clichy,2,1,16,48.896912,2.322711,/annonces/appartement-paris-17e-75017-r429800115
studio,6,180000,75010,République,Jacques Bonsergent,Temple,1,1,13,48.869181,2.363642,/annonces/appartement-paris-10e-75010-r429500686
studio,4,175000,75010,Jacques Bonsergent,Gare de l'Est (Verdun),Château d'Eau,1,0,14,48.873108,2.362478,/annonces/appartement-paris-10e-r430401288
studio,5,175000,75010,Jacques Bonsergent,Gare de l'Est (Verdun),Château d'Eau,1,0,14,48.873108,2.362478,/annonces/appartement-paris-10e-75010-r430401283
studio,5,162000,75018,Simplon,Porte de Clignancourt,Jules Joffrin,1,0,17,48.895618,2.348382,/annonces/appartement-paris-18e-r426900718
studio,5,150000,75011,Charonne,Faidherbe,Rue des Boulets,1,0,11,48.853249,2.385224,/annonces/appartement-paris-11e-75011-r430401329
studio,2,140000,75013,Place d'Italie,Corvisart,Les Gobelins,1,0,13,48.831744,2.352437,/annonces/appartement-paris-13e-75013-r430400297
chambre,10,119000,75015,Pasteur,Falguière,Volontaires,1,0,8,48.840493,2.314787,/annonces/appartement-paris-15e-r429501039
pièce,8,105000,75012,Daumesnil (Félix Éboué),Dugommier,Bel-Air,1,0,8,48.839945,2.39449,/annonces/appartement-paris-12e-75012-r430401167
chambre,10,95000,75017,La Fourche,Place de Clichy,Blanche,1,1,8,48.88566,2.326035,/annonces/appartement-paris-17e-r420901371
pièce,12,95000,75016,Jasmin,Ranelagh,Michel-Ange - Auteuil,1,1,7,48.851574,2.267744,/annonces/appartement-paris-75016-r187211182
pièce,4,91000,75007,La Motte-Picquet - Grenelle,Ecole Militaire,Dupleix,1,1,8,48.853015,2.299384,/annonces/appartement-paris-7e-75007-r429901233
